character,pinyin_marked,meaning,word_1,word_2,example_sentence,sequence
笑,xiào,常用汉字；可组成“笑声”和“微笑”等词语,笑声,微笑,儿童相见不相识，笑问客从何处来。,62
着,zhe,表示动作正在进行或状态持续,看着,走着,我们一起学习“看着”这个词。,63
会,huì,能够；也指聚集开会,开会,学会,我们一起学习“开会”这个词。,64
自,zì,自己；从,自己,自由,我们一起学习“自己”这个词。,65
己,jǐ,自己,自己,知己,我们一起学习“自己”这个词。,66
画,huà,常用汉字；可组成“画画”和“图画”等词语,画画,图画,我们一起学习“画画”这个词。,67
好,hǎo,常用汉字；可组成“好人”和“美好”等词语,好人,美好,最是一年春好处，绝胜烟柳满皇都。,68
爱,ài,常用汉字；可组成“爱心”和“可爱”等词语,爱心,可爱,停车坐爱枫林晚，霜叶红于二月花。,69
也,yě,同样；也,也许,也是,我们一起学习“也许”这个词。,70
可,kě,表示可以、能够,可以,可是,可怜九月初三夜，露似真珠月似弓。,71
爸,bà,常用汉字；可组成“爸爸”和“老爸”等词语,爸爸,老爸,我们一起学习“爸爸”这个词。,72
家,jiā,常用汉字；可组成“大家”和“回家”等词语,大家,回家,少小离家老大回，乡音无改鬓毛衰。,73
妈,mā,常用汉字；可组成“妈妈”和“爸妈”等词语,妈妈,爸妈,我们一起学习“妈妈”这个词。,74
这,zhè,指较近的人或事物,这里,这个,我们一起学习“这里”这个词。,75
爷,yé,常用汉字；可组成“爷爷”和“老爷”等词语,爷爷,老爷,我们一起学习“爷爷”这个词。,76
奶,nǎi,常用汉字；可组成“奶奶”和“牛奶”等词语,奶奶,牛奶,我们一起学习“奶奶”这个词。,77
们,men,表示复数,我们,他们,我们一起学习“我们”这个词。,78
串,chuàn,常用汉字；可组成“一串”和“串门”等词语,一串,串门,我们一起学习“一串”这个词。,79
球,qiú,常用汉字；可组成“皮球”和“足球”等词语,皮球,足球,我们一起学习“皮球”这个词。,80
圆,yuán,常用汉字；可组成“圆形”和“团圆”等词语,圆形,团圆,我们一起学习“圆形”这个词。,81
形,xíng,常用汉字；可组成“形状”和“图形”等词语,形状,图形,我们一起学习“形状”这个词。,82
长,cháng,长度大；也表示时间久,长短,长江,长风破浪会有时，直挂云帆济沧海。,83
方,fāng,常用汉字；可组成“方向”和“方形”等词语,方向,方形,我们一起学习“方向”这个词。,84
正,zhèng,正确；正在,正在,正好,我们一起学习“正在”这个词。,85
灯,dēng,常用汉字；可组成“电灯”和“灯光”等词语,电灯,灯光,我们一起学习“电灯”这个词。,86
块,kuài,常用汉字；可组成“一块”和“石块”等词语,一块,石块,我们一起学习“一块”这个词。,87
冰,bīng,常用汉字；可组成“冰块”和“冰雪”等词语,冰块,冰雪,我们一起学习“冰块”这个词。,88
那,nà,指较远的人或事物,那里,那个,我们一起学习“那里”这个词。,89
弓,gōng,常用汉字；可组成“弓箭”和“拉弓”等词语,弓箭,拉弓,可怜九月初三夜，露似真珠月似弓。,90
买,mǎi,常用汉字；可组成“买菜”和“购买”等词语,买菜,购买,我们一起学习“买菜”这个词。,91
哪,nǎ,用来询问哪一个,哪里,哪个,我们一起学习“哪里”这个词。,92
乐,lè,常用汉字；可组成“快乐”和“音乐”等词语,快乐,音乐,我们一起学习“快乐”这个词。,93
谢,xiè,常用汉字；可组成“谢谢”和“感谢”等词语,谢谢,感谢,我们一起学习“谢谢”这个词。,94
想,xiǎng,常用汉字；可组成“想念”和“思想”等词语,想念,思想,我们一起学习“想念”这个词。,95
抱,bào,常用汉字；可组成“拥抱”和“抱起”等词语,拥抱,抱起,我们一起学习“拥抱”这个词。,96
竹,zhú,常用汉字；可组成“竹子”和“竹林”等词语,竹子,竹林,竹外桃花三两枝，春江水暖鸭先知。,97
要,yào,常用汉字；可组成“需要”和“重要”等词语,需要,重要,我们一起学习“需要”这个词。,98
红,hóng,常用汉字；可组成“红色”和“红花”等词语,红色,红花,日出江花红胜火，春来江水绿如蓝。,99
色,sè,常用汉字；可组成“颜色”和“彩色”等词语,颜色,彩色,我们一起学习“颜色”这个词。,100
吃,chī,常用汉字；可组成“吃饭”和“好吃”等词语,吃饭,好吃,我们一起学习“吃饭”这个词。,101
香,xiāng,常用汉字；可组成“香味”和“花香”等词语,香味,花香,迟日江山丽，春风花草香。,102
穿,chuān,常用汉字；可组成“穿衣”和“穿过”等词语,穿衣,穿过,我们一起学习“穿衣”这个词。,103
身,shēn,常用汉字；可组成“身体”和“身边”等词语,身体,身边,我们一起学习“身体”这个词。,104
它,tā,指动物或事物,它们,其它,我们一起学习“它们”这个词。,105
发,fā,送出、产生或开始行动,发现,出发,我们一起学习“发现”这个词。,106
他,tā,男性第三人称,他们,其他,我们一起学习“他们”这个词。,107
她,tā,女性第三人称,她们,女孩,我们一起学习“她们”这个词。,108
毛,máo,常用汉字；可组成“毛衣”和“羽毛”等词语,毛衣,羽毛,我们一起学习“毛衣”这个词。,109
朋,péng,常用汉字；可组成“朋友”和“亲朋”等词语,朋友,亲朋,我们一起学习“朋友”这个词。,110
哥,gē,常用汉字；可组成“哥哥”和“大哥”等词语,哥哥,大哥,我们一起学习“哥哥”这个词。,111
弟,dì,常用汉字；可组成“弟弟”和“兄弟”等词语,弟弟,兄弟,我们一起学习“弟弟”这个词。,112
兄,xiōng,常用汉字；可组成“兄长”和“兄弟”等词语,兄长,兄弟,我们一起学习“兄长”这个词。,113
眉,méi,常用汉字；可组成“眉毛”和“眉头”等词语,眉毛,眉头,我们一起学习“眉毛”这个词。,114
鼻,bí,常用汉字；可组成“鼻子”和“鼻孔”等词语,鼻子,鼻孔,我们一起学习“鼻子”这个词。,115
星,xīng,常用汉字；可组成“星星”和“星空”等词语,星星,星空,危楼高百尺，手可摘星辰。,116
阳,yáng,常用汉字；可组成“太阳”和“阳光”等词语,太阳,阳光,夕阳无限好，只是近黄昏。,117
亮,liàng,常用汉字；可组成“明亮”和“月亮”等词语,明亮,月亮,我们一起学习“明亮”这个词。,118
今,jīn,常用汉字；可组成“今天”和“今年”等词语,今天,今年,今夜偏知春气暖，虫声新透绿窗纱。,119
明,míng,常用汉字；可组成“明天”和“明亮”等词语,明天,明亮,床前明月光，疑是地上霜。,120
走,zǒu,常用汉字；可组成“走路”和“行走”等词语,走路,行走,儿童急走追黄蝶，飞入菜花无处寻。,121
兴,xìng,常用汉字；可组成“高兴”和“兴奋”等词语,高兴,兴奋,我们一起学习“高兴”这个词。,122
空,kōng,常用汉字；可组成“天空”和“空气”等词语,天空,空气,空山新雨后，天气晚来秋。,123
两,liǎng,数字二，用于量词前,两个,两边,两个黄鹂鸣翠柳，一行白鹭上青天。,124
苦,kǔ,味道苦；辛苦,辛苦,苦味,谁知盘中餐，粒粒皆辛苦。,125
牙,yá,常用汉字；可组成“牙齿”和“刷牙”等词语,牙齿,刷牙,我们一起学习“牙齿”这个词。,126
肚,dù,常用汉字；可组成“肚子”和“肚皮”等词语,肚子,肚皮,我们一起学习“肚子”这个词。,127
尾,wěi,常用汉字；可组成“尾巴”和“结尾”等词语,尾巴,结尾,我们一起学习“尾巴”这个词。,128
你,nǐ,对方,你好,你们,我们一起学习“你好”这个词。,129
脸,liǎn,常用汉字；可组成“笑脸”和“洗脸”等词语,笑脸,洗脸,我们一起学习“笑脸”这个词。,130
黑,hēi,常用汉字；可组成“黑色”和“黑夜”等词语,黑色,黑夜,黑云翻墨未遮山，白雨跳珠乱入船。,131
半,bàn,二分之一,一半,半天,三山半落青天外，二水中分白鹭洲。,132
呀,ya,语气词，表示语气,好呀,来呀,我们一起学习“好呀”这个词。,133
吗,ma,用在句末表示疑问,好吗,是吗,我们一起学习“好吗”这个词。,134
七,qī,数字七,七个,七月,我们一起学习“七个”这个词。,135
九,jiǔ,数字九,九个,九月,可怜九月初三夜，露似真珠月似弓。,136
又,yòu,表示重复或并列,又是,又大又圆,我们一起学习“又是”这个词。,137
很,hěn,表示程度较高,很好,很多,我们一起学习“很好”这个词。,138
太,tài,表示程度很高,太阳,太大,我们一起学习“太阳”这个词。,139
宝,bǎo,常用汉字；可组成“宝贝”和“宝石”等词语,宝贝,宝石,我们一起学习“宝贝”这个词。,140
贝,bèi,常用汉字；可组成“宝贝”和“贝壳”等词语,宝贝,贝壳,我们一起学习“宝贝”这个词。,141
和,hé,连接并列事物；也表示和睦,和平,和好,我们一起学习“和平”这个词。,142
关,guān,关闭；关心,关门,关心,我们一起学习“关门”这个词。,143
园,yuán,常用汉字；可组成“公园”和“花园”等词语,公园,花园,应怜屐齿印苍苔，小扣柴扉久不开。春色满园关不住，一枝红杏出墙来。,144
生,shēng,常用汉字；可组成“学生”和“生活”等词语,学生,生活,野火烧不尽，春风吹又生。,145
苗,miáo,常用汉字；可组成“禾苗”和“树苗”等词语,禾苗,树苗,我们一起学习“禾苗”这个词。,146
叶,yè,常用汉字；可组成“树叶”和“叶子”等词语,树叶,叶子,停车坐爱枫林晚，霜叶红于二月花。,147
草,cǎo,常用汉字；可组成“小草”和“草地”等词语,小草,草地,迟日江山丽，春风花草香。,148
岛,dǎo,常用汉字；可组成“海岛”和“小岛”等词语,海岛,小岛,我们一起学习“海岛”这个词。,149
嘴,zuǐ,常用汉字；可组成“嘴巴”和“张嘴”等词语,嘴巴,张嘴,我们一起学习“嘴巴”这个词。,150
眼,yǎn,常用汉字；可组成“眼睛”和“闭眼”等词语,眼睛,闭眼,我们一起学习“眼睛”这个词。,151
睛,jīng,常用汉字；可组成“眼睛”和“目不转睛”等词语,眼睛,目不转睛,我们一起学习“眼睛”这个词。,152
腿,tuǐ,常用汉字；可组成“大腿”和“跑腿”等词语,大腿,跑腿,我们一起学习“大腿”这个词。,153
翅,chì,常用汉字；可组成“翅膀”和“展翅”等词语,翅膀,展翅,我们一起学习“翅膀”这个词。,154
膀,bǎng,常用汉字；可组成“翅膀”和“肩膀”等词语,翅膀,肩膀,我们一起学习“翅膀”这个词。,155
羽,yǔ,常用汉字；可组成“羽毛”和“羽衣”等词语,羽毛,羽衣,我们一起学习“羽毛”这个词。,156
体,tǐ,常用汉字；可组成“身体”和“体育”等词语,身体,体育,我们一起学习“身体”这个词。,157
没,méi,表示没有或否定,没有,没事,我们一起学习“没有”这个词。,158
认,rèn,辨认、承认,认识,认真,我们一起学习“认识”这个词。,159
识,shí,认识、知识,认识,知识,我们一起学习“认识”这个词。,160
颜,yán,脸色或颜色,颜色,笑颜,我们一起学习“颜色”这个词。,161
黄,huáng,常用汉字；可组成“黄色”和“黄河”等词语,黄色,黄河,两个黄鹂鸣翠柳，一行白鹭上青天。,162
蓝,lán,常用汉字；可组成“蓝色”和“蓝天”等词语,蓝色,蓝天,日出江花红胜火，春来江水绿如蓝。,163
绿,lǜ,常用汉字；可组成“绿色”和“绿叶”等词语,绿色,绿叶,碧玉妆成一树高，万条垂下绿丝绦。,164
粉,fěn,常用汉字；可组成“粉色”和“面粉”等词语,粉色,面粉,我们一起学习“粉色”这个词。,165
青,qīng,常用汉字；可组成“青色”和“青草”等词语,青色,青草,两个黄鹂鸣翠柳，一行白鹭上青天。,166
紫,zǐ,常用汉字；可组成“紫色”和“紫菜”等词语,紫色,紫菜,日照香炉生紫烟，遥看瀑布挂前川。,167
彩,cǎi,常用汉字；可组成“彩色”和“彩虹”等词语,彩色,彩虹,我们一起学习“彩色”这个词。,168
食,shí,吃的东西；吃,食物,食品,我们一起学习“食物”这个词。,169
物,wù,东西、事物,物品,动物,我们一起学习“物品”这个词。,170
尝,cháng,用嘴辨别味道,品尝,尝一尝,我们一起学习“品尝”这个词。,171
闻,wén,用鼻子闻；听见,闻到,新闻,李白乘舟将欲行，忽闻岸上踏歌声。,172
味,wèi,舌头尝到的感觉,味道,香味,我们一起学习“味道”这个词。,173
鲜,xiān,新鲜、鲜美,新鲜,鲜花,我们一起学习“新鲜”这个词。,174
甜,tián,味道像糖一样,甜味,香甜,采得百花成蜜后，为谁辛苦为谁甜。,175
什,shén,组成“什么”等疑问词,什么,为什么,我们一起学习“什么”这个词。,176
么,me,组成“什么、怎么”等词,什么,怎么,我们一起学习“什么”这个词。,177
起,qǐ,从坐卧变为站立；开始,起来,一起,我们一起学习“起来”这个词。,178
运,yùn,移动；运气,运动,运气,我们一起学习“运动”这个词。,179
动,dòng,常用汉字；可组成“动物”和“运动”等词语,动物,运动,我们一起学习“动物”这个词。,180
踢,tī,常用汉字；可组成“踢球”和“踢腿”等词语,踢球,踢腿,我们一起学习“踢球”这个词。,181
足,zú,常用汉字；可组成“足球”和“手足”等词语,足球,手足,我们一起学习“足球”这个词。,182
赛,sài,比赛、竞赛,比赛,赛跑,我们一起学习“比赛”这个词。,183
快,kuài,速度高；高兴,快乐,飞快,我们一起学习“快乐”这个词。,184
慢,màn,速度低,慢慢,快慢,我们一起学习“慢慢”这个词。,185
跑,pǎo,常用汉字；可组成“跑步”和“赛跑”等词语,跑步,赛跑,我们一起学习“跑步”这个词。,186
步,bù,走路时的一步,走步,脚步,我们一起学习“走步”这个词。,187
唱,chàng,常用汉字；可组成“唱歌”和“合唱”等词语,唱歌,合唱,我们一起学习“唱歌”这个词。,188
歌,gē,常用汉字；可组成“歌曲”和“儿歌”等词语,歌曲,儿歌,白日放歌须纵酒，青春作伴好还乡。,189
跳,tiào,常用汉字；可组成“跳高”和“跳舞”等词语,跳高,跳舞,我们一起学习“跳高”这个词。,190
舞,wǔ,常用汉字；可组成“跳舞”和“舞台”等词语,跳舞,舞台,我们一起学习“跳舞”这个词。,191
吹,chuī,常用汉字；可组成“吹风”和“吹气”等词语,吹风,吹气,我们一起学习“吹风”这个词。,192
讲,jiǎng,常用汉字；可组成“讲话”和“讲故事”等词语,讲话,讲故事,我们一起学习“讲话”这个词。,193
故,gù,原因；过去的；故乡,故事,故乡,举头望明月，低头思故乡。,194
事,shì,事情,事情,故事,我们一起学习“事情”这个词。,195
怎,zěn,用来询问方式或原因,怎么,怎样,我们一起学习“怎么”这个词。,196
帮,bāng,帮助,帮助,帮忙,我们一起学习“帮助”这个词。,197
找,zhǎo,寻找,找到,寻找,我们一起学习“找到”这个词。,198
欢,huān,高兴、喜爱,喜欢,欢乐,我们一起学习“喜欢”这个词。,199
担,dān,用肩挑；担心,担心,担当,我们一起学习“担心”这个词。,200
闷,mēn,空气不流通或心情不舒畅,闷热,烦闷,我们一起学习“闷热”这个词。,201
急,jí,着急；速度快,着急,急忙,我们一起学习“着急”这个词。,202
害,hài,伤害；害怕,害怕,伤害,我们一起学习“害怕”这个词。,203
怕,pà,恐惧、担心,害怕,不怕,我们一起学习“害怕”这个词。,204
惊,jīng,受到突然刺激而吃惊,惊喜,吃惊,我们一起学习“惊喜”这个词。,205
哈,hā,表示笑声或呼气声,哈哈,哈气,我们一起学习“哈哈”这个词。,206
老,lǎo,常用汉字；可组成“老师”和“老人”等词语,老师,老人,我们一起学习“老师”这个词。,207
师,shī,常用汉字；可组成“老师”和“师生”等词语,老师,师生,我们一起学习“老师”这个词。,208
同,tóng,相同；一起,同学,相同,我们一起学习“同学”这个词。,209
学,xué,学习；学校,学习,学生,我们一起学习“学习”这个词。,210
校,xiào,学校；校对,学校,校园,我们一起学习“学校”这个词。,211
桌,zhuō,常用汉字；可组成“桌子”和“书桌”等词语,桌子,书桌,我们一起学习“桌子”这个词。,212
椅,yǐ,常用汉字；可组成“椅子”和“桌椅”等词语,椅子,桌椅,我们一起学习“椅子”这个词。,213
教,jiào,教导；也指教学相关的事物,教师,教室,老师在教室里教我们读书。,214
室,shì,常用汉字；可组成“教室”和“房间”等词语,教室,房间,我们一起学习“教室”这个词。,215
课,kè,课程、课堂,上课,课本,我们一起学习“上课”这个词。,216
做,zuò,进行某种事情,做事,做好,我们一起学习“做事”这个词。,217
给,gěi,交给、送给或给予,送给,交给,我们一起学习“送给”这个词。,218
操,cāo,做操；操练,做操,体操,我们一起学习“做操”这个词。,219
伸,shēn,向外展开,伸手,伸展,我们一起学习“伸手”这个词。,220
拉,lā,用力使靠近或打开,拉手,拉开,我们一起学习“拉手”这个词。,221
拳,quán,握紧的手,拳头,打拳,我们一起学习“拳头”这个词。,222
拍,pāi,用手轻打或拍摄,拍手,拍球,我们一起学习“拍手”这个词。,223
抓,zhuā,用手握住,抓住,抓紧,我们一起学习“抓住”这个词。,224
拥,yōng,抱；拥有,拥抱,拥有,我们一起学习“拥抱”这个词。,225
寒,hán,很冷,寒冷,严寒,远上寒山石径斜，白云生处有人家。,226
冷,lěng,温度低,冷水,寒冷,我们一起学习“冷水”这个词。,227
温,wēn,不冷不热；温和,温暖,体温,我们一起学习“温暖”这个词。,228
暖,nuǎn,温暖,暖和,温暖,竹外桃花三两枝，春江水暖鸭先知。,229
热,rè,温度高,热水,炎热,我们一起学习“热水”这个词。,230
凉,liáng,温度较低、清爽,凉快,清凉,我们一起学习“凉快”这个词。,231
湿,shī,含有水分,湿润,潮湿,我们一起学习“湿润”这个词。,232
雾,wù,常用汉字；可组成“大雾”和“云雾”等词语,大雾,云雾,我们一起学习“大雾”这个词。,233
净,jìng,干净,干净,洁净,我们一起学习“干净”这个词。,234
到,dào,到达；表示动作达到某处,来到,看到,我们一起学习“来到”这个词。,235
都,dōu,表示全部,都是,全都,我们一起学习“都是”这个词。,236
办,bàn,处理、办理,办法,办事,我们一起学习“办法”这个词。,237
渴,kě,想喝水,口渴,解渴,我们一起学习“口渴”这个词。,238
喝,hē,常用汉字；可组成“喝水”和“喝茶”等词语,喝水,喝茶,我们一起学习“喝水”这个词。,239
饿,è,想吃东西,饥饿,饿了,我们一起学习“饥饿”这个词。,240
饭,fàn,常用汉字；可组成“吃饭”和“米饭”等词语,吃饭,米饭,我们一起学习“吃饭”这个词。,241
睡,shuì,常用汉字；可组成“睡觉”和“午睡”等词语,睡觉,午睡,我们一起学习“睡觉”这个词。,242
觉,jiào,睡眠；也用于“睡觉、午觉”,睡觉,午觉,我每天晚上按时睡觉。,243
累,lèi,疲劳,劳累,很累,我们一起学习“劳累”这个词。,244
醒,xǐng,从睡眠中清醒,醒来,叫醒,我们一起学习“醒来”这个词。,245
